GeneID	dN	dS	dNdS
BLGH_00001	0	0.007	0
BLGH_00002	0.002	0.003	0.6667
BLGH_00003	0.001	0.002	0.5
BLGH_00004	0	0	NA
BLGH_00005	0	0	NA
BLGH_00006	0.001	0.002	0.5
BLGH_00007	0.001	0.005	0.2
BLGH_00008	0.001	0.007	0.1429
BLGH_00009	0	0.002	0
BLGH_00010	0	0.006	0
BLGH_00011	0.005	0.011	0.4545
BLGH_00012	0	0.002	0
BLGH_00013	0.01	0	Inf
BLGH_00014	0.002	0.005	0.4
BLGH_00015	0.002	0	Inf
BLGH_00016	0.001	0.005	0.2
BLGH_00017	0.001	0	Inf
BLGH_00018	0.003	0.006	0.5
BLGH_00019	0	0	NA
BLGH_00020	0.001	0.003	0.3333
BLGH_00021	0	0.003	0
BLGH_00022	0.001	0.002	0.5
BLGH_00023	0.002	0	Inf
BLGH_00024	0.012	0.006	2
BLGH_00025	0.044	0.034	1.2941
BLGH_00026	0.048	0.033	1.4545
BLGH_00027	0.014	0.001	14
BLGH_00028	0.004	0.006	0.6667
BLGH_00030	0.01	0.017	0.5882
BLGH_00031	0.006	0.003	2
BLGH_00032	0.018	0.038	0.4737
BLGH_00033	0.005	0.017	0.2941
BLGH_00034	0.004	0.003	1.3333
BLGH_00035	0	0.011	0
BLGH_00036	0.001	0	Inf
BLGH_00037	0	0	NA
BLGH_00038	0.004	0	Inf
BLGH_00039	0	0.009	0
BLGH_00040	0.001	0.011	0.0909
BLGH_00041	0.002	0.005	0.4
BLGH_00042	0	0	NA
BLGH_00043	0.002	0.005	0.4
BLGH_00044	0	0.002	0
BLGH_00045	0	0	NA
BLGH_00046	0	0	NA
BLGH_00047	0.002	0	Inf
BLGH_00048	0	0	NA
BLGH_00049	0	0.006	0
BLGH_00050	0.001	0	Inf
BLGH_00051	0	0.002	0
BLGH_00052	0	0	NA
BLGH_00053	0	0	NA
BLGH_00054	0	0.004	0
BLGH_00055	0	0.004	0
BLGH_00056	0	0	NA
BLGH_00057	0	0	NA
BLGH_00060	0	0.004	0
BLGH_00061	0	0	NA
BLGH_00062	0	0.005	0
BLGH_00063	0	0	NA
BLGH_00064	0	0.003	0
BLGH_00065	0	0	NA
BLGH_00066	0	0.007	0
BLGH_00067	0.001	0.004	0.25
BLGH_00068	0	0.004	0
BLGH_00069	0	0.006	0
BLGH_00070	0.003	0.008	0.375
BLGH_00071	0.002	0	Inf
BLGH_00072	0	0	NA
BLGH_00073	0	0	NA
BLGH_00074	0	0	NA
BLGH_00075	0	0.005	0
BLGH_00076	0	0.006	0
BLGH_00077	0	0.002	0
BLGH_00078	0.002	0	Inf
BLGH_00079	0	0	NA
BLGH_00080	0.002	0.002	1
BLGH_00081	0	0	NA
BLGH_00082	0	0	NA
BLGH_00083	0	0	NA
BLGH_00084	0	0	NA
BLGH_00085	0.02	0.112	0.1786
BLGH_00086	0.002	0.01	0.2
BLGH_00087	0	0	NA
BLGH_00088	0	0.008	0
BLGH_00089	0	0.011	0
BLGH_00090	0.007	0.004	1.75
BLGH_00091	0	0.007	0
BLGH_00092	0	0.004	0
BLGH_00093	0	0.013	0
BLGH_00094	0	0	NA
BLGH_00095	0	0.008	0
BLGH_00096	0	0	NA
BLGH_00097	0	0	NA
BLGH_00098	0	0	NA
BLGH_00099	0	0.023	0
BLGH_00100	0.005	0	Inf
BLGH_00101	0	0.006	0
BLGH_00102	0.001	0.003	0.3333
BLGH_00103	0.001	0.005	0.2
BLGH_00104	0.002	0	Inf
BLGH_00105	0.002	0.006	0.3333
BLGH_00107	0	0.002	0
BLGH_00108	0	0	NA
BLGH_00109	0	0	NA
BLGH_00110	0	0.004	0
BLGH_00111	0.008	0	Inf
BLGH_00112	0	0	NA
BLGH_00113	0.001	0	Inf
BLGH_00114	0.01	0.012	0.8333
BLGH_00117	0	0.007	0
BLGH_00118	0.002	0.017	0.1176
BLGH_00119	0	0.005	0
BLGH_00120	0	0.005	0
BLGH_00121	0.002	0.006	0.3333
BLGH_00122	0.002	0.004	0.5
BLGH_00123	0	0.004	0
BLGH_00124	0.002	0.003	0.6667
BLGH_00125	0.003	0.009	0.3333
BLGH_00126	0	0.006	0
BLGH_00127	0	0.006	0
BLGH_00128	0	0.001	0
BLGH_00129	0	0	NA
BLGH_00130	0.002	0.021	0.0952
BLGH_00131	0.005	0.008	0.625
BLGH_00132	0.004	0	Inf
BLGH_00133	0	0.006	0
BLGH_00134	0.001	0.007	0.1429
BLGH_00135	0	0.002	0
BLGH_00136	0.001	0	Inf
BLGH_00137	0.006	0.008	0.75
BLGH_00138	0.002	0.019	0.1053
BLGH_00139	0.002	0.005	0.4
BLGH_00140	0.003	0	Inf
BLGH_00141	0.001	0.002	0.5
BLGH_00142	0.003	0.004	0.75
BLGH_00143	0.002	0.006	0.3333
BLGH_00144	0	0.009	0
BLGH_00145	0.001	0.002	0.5
BLGH_00146	0.002	0.013	0.1538
BLGH_00147	0.005	0	Inf
BLGH_00148	0	0.012	0
BLGH_00149	0	0.003	0
BLGH_00150	0.003	0	Inf
BLGH_00151	0.003	0.014	0.2143
BLGH_00152	0.008	0.017	0.4706
BLGH_00153	0.004	0.024	0.1667
BLGH_00154	0.002	0.009	0.2222
BLGH_00155	0.001	0	Inf
BLGH_00156	0	0	NA
BLGH_00157	0	0.003	0
BLGH_00158	0.001	0	Inf
BLGH_00159	0	0	NA
BLGH_00160	0	0.021	0
BLGH_00161	0	0.006	0
BLGH_00162	0.002	0	Inf
BLGH_00163	0.001	0	Inf
BLGH_00164	0	0.009	0
BLGH_00165	0.056	0.062	0.9032
BLGH_00166	0	0.002	0
BLGH_00167	0	0.01	0
BLGH_00168	0	0.023	0
BLGH_00169	0	0	NA
BLGH_00170	0	0	NA
BLGH_00171	0	0.006	0
BLGH_00172	0	0.002	0
BLGH_00173	0	0	NA
BLGH_00174	0.001	0.008	0.125
BLGH_00175	0.005	0	Inf
BLGH_00176	0.003	0	Inf
BLGH_00177	0	0.003	0
BLGH_00178	0	0.005	0
BLGH_00179	0	0	NA
BLGH_00180	0.001	0.002	0.5
BLGH_00181	0	0	NA
BLGH_00182	0	0.005	0
BLGH_00183	0.003	0.003	1
BLGH_00184	0.004	0.01	0.4
BLGH_00185	0	0	NA
BLGH_00186	0.002	0	Inf
BLGH_00187	0.001	0.002	0.5
BLGH_00188	0	0	NA
BLGH_00189	0	0.014	0
BLGH_00190	0.001	0	Inf
BLGH_00191	0	0.012	0
BLGH_00192	0	0	NA
BLGH_00193	0	0	NA
BLGH_00194	0	0.003	0
BLGH_00195	0	0	NA
BLGH_00196	0	0.001	0
BLGH_00197	0	0.003	0
BLGH_00198	0.004	0	Inf
BLGH_00199	0	0	NA
BLGH_00200	0	0	NA
BLGH_00201	0.001	0.003	0.3333
BLGH_00202	0.002	0.005	0.4
BLGH_00203	0	0	NA
BLGH_00204	0	0	NA
BLGH_00205	0	0.004	0
BLGH_00206	0	0	NA
BLGH_00207	0.002	0.002	1
BLGH_00208	0	0.004	0
BLGH_00209	0.001	0	Inf
BLGH_00210	0.004	0.002	2
BLGH_00211	0.001	0.004	0.25
BLGH_00212	0.001	0	Inf
BLGH_00213	0	0.005	0
BLGH_00214	0	0	NA
BLGH_00215	0.001	0.004	0.25
BLGH_00216	0	0.003	0
BLGH_00217	0.004	0.003	1.3333
BLGH_00218	0	0	NA
BLGH_00219	0	0	NA
BLGH_00220	0.002	0	Inf
BLGH_00221	0.002	0.002	1
BLGH_00222	0.001	0.002	0.5
BLGH_00223	0.005	0.007	0.7143
BLGH_00224	0.006	0.009	0.6667
BLGH_00225	0	0.002	0
BLGH_00226	0	0.009	0
BLGH_00227	0	0	NA
BLGH_00228	0.001	0	Inf
BLGH_00229	0.001	0	Inf
BLGH_00230	0	0.011	0
BLGH_00231	0.002	0.014	0.1429
BLGH_00232	0	0.008	0
BLGH_00233	0	0	NA
BLGH_00234	0.001	0.011	0.0909
BLGH_00235	0	0.004	0
BLGH_00236	0	0.006	0
BLGH_00237	0	0	NA
BLGH_00238	0	0.003	0
BLGH_00239	0.001	0	Inf
BLGH_00240	0.002	0.009	0.2222
BLGH_00241	0.003	0.007	0.4286
BLGH_00242	0	0.006	0
BLGH_00243	0.001	0.002	0.5
BLGH_00244	0	0.004	0
BLGH_00245	0.002	0	Inf
BLGH_00246	0.001	0.002	0.5
BLGH_00247	0	0.058	0
BLGH_00248	0.001	0.003	0.3333
BLGH_00249	0	0.004	0
BLGH_00250	0.002	0.003	0.6667
BLGH_00251	0.002	0.002	1
BLGH_00252	0	0	NA
BLGH_00253	0.001	0.002	0.5
BLGH_00254	0.001	0.003	0.3333
BLGH_00255	0	0.002	0
BLGH_00256	0.001	0.002	0.5
BLGH_00257	0	0.002	0
BLGH_00258	0.004	0.002	2
BLGH_00259	0	0	NA
BLGH_00260	0.001	0.01	0.1
BLGH_00261	0.002	0.002	1
BLGH_00262	0	0.01	0
BLGH_00263	0.001	0.018	0.0556
BLGH_00264	0.002	0.013	0.1538
BLGH_00265	0.009	0.021	0.4286
BLGH_00266	0.001	0	Inf
BLGH_00267	0.003	0.004	0.75
BLGH_00268	0	0.008	0
BLGH_00269	0.001	0.018	0.0556
BLGH_00270	0.001	0.003	0.3333
BLGH_00271	0.002	0.005	0.4
BLGH_00272	0	0	NA
BLGH_00273	0	0	NA
