"","copynumber_r","Gene","Species","CopyNumber"
"1","1","BLGH_00023","000-hordei-DH14_genomic_reference.sort.bam",1.05593593259695
"2","1","BLGH_00024","000-hordei-DH14_genomic_reference.sort.bam",1.04624097162059
"3","1","BLGH_00025","000-hordei-DH14_genomic_reference.sort.bam",1.11366862499129
"4","1","BLGH_00026","000-hordei-DH14_genomic_reference.sort.bam",1.0717519388557
"5","1","BLGH_00027","000-hordei-DH14_genomic_reference.sort.bam",1.12317281280565
"6","1","BLGH_00028","000-hordei-DH14_genomic_reference.sort.bam",1.08108919394065
"7","0","BLGH_00029","000-hordei-DH14_genomic_reference.sort.bam",0.454952086978596
"8","1","BLGH_00030","000-hordei-DH14_genomic_reference.sort.bam",0.784504038580645
"9","1","BLGH_00031","000-hordei-DH14_genomic_reference.sort.bam",1.12768614475532
"10","1","BLGH_00032","000-hordei-DH14_genomic_reference.sort.bam",1.08021911293916
"11","1","BLGH_00033","000-hordei-DH14_genomic_reference.sort.bam",0.934979641377491
"12","1","BLGH_00034","000-hordei-DH14_genomic_reference.sort.bam",1.07124708028245
"13","1","BLGH_00041","000-hordei-DH14_genomic_reference.sort.bam",0.851934910338937
"14","1","BLGH_00049","000-hordei-DH14_genomic_reference.sort.bam",0.640344639340636
"15","1","BLGH_00076","000-hordei-DH14_genomic_reference.sort.bam",0.868685435995323
"16","1","BLGH_00090","000-hordei-DH14_genomic_reference.sort.bam",1.05733442480131
"17","1","BLGH_00097","000-hordei-DH14_genomic_reference.sort.bam",1.03087931478766
"18","1","BLGH_00100","000-hordei-DH14_genomic_reference.sort.bam",0.604114907126188
"19","1","BLGH_00119","000-hordei-DH14_genomic_reference.sort.bam",1.04582483294352
"20","1","BLGH_00140","000-hordei-DH14_genomic_reference.sort.bam",0.962516481474666
"21","1","BLGH_00146","000-hordei-DH14_genomic_reference.sort.bam",0.998535314632333
"22","1","BLGH_00163","000-hordei-DH14_genomic_reference.sort.bam",1.11641991012602
"23","1","BLGH_00164","000-hordei-DH14_genomic_reference.sort.bam",0.777826919606397
"24","1","BLGH_00172","000-hordei-DH14_genomic_reference.sort.bam",0.895239000269629
"25","1","BLGH_00189","000-hordei-DH14_genomic_reference.sort.bam",0.952322593182686
"26","1","BLGH_00220","000-hordei-DH14_genomic_reference.sort.bam",1.20513531127886
"27","1","BLGH_00223","000-hordei-DH14_genomic_reference.sort.bam",0.95211341414974
"28","1","BLGH_00252","000-hordei-DH14_genomic_reference.sort.bam",1.07779463502834
"29","1","BLGH_00257","000-hordei-DH14_genomic_reference.sort.bam",1.01551937030896
"30","1","BLGH_00279","000-hordei-DH14_genomic_reference.sort.bam",1.11834425237968
"31","1","BLGH_00280","000-hordei-DH14_genomic_reference.sort.bam",1.00441258264483
